"DOMAIN_TYPE","DOMAIN_HCODE","DOMAIN_LEVEL1","DOMAIN_CNAME","DOMAIN_CSNAME","DOMAIN_DESC","DOMAIN_DESC_GENERATED","HISQA","HISMAN","HISVALID","CREATE_BY","HCREATETIME","UPDATE_BY","HUPDATETIME"
外部,"10303",个股相关,科创板股本股东,科创板股本股东,"""科创板股本股东""涵盖了科创板上市公司股本结构及股东信息的详细记录。该分类下的表格主要关注公司股本的构成及其变动情况，包括总股本、流通股、普通股和优先股的数量，以及股本变动的日期和原因。这些信息有助于了解科创板公司在市场上的股本流动性和股东结构的变化。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:07"
外部,"10304",个股相关,科创板行情,科创板行情,"""科创板行情""涵盖了科创板股票的市场行情、估值指标和市场表现分析。具体包括记录每日交易数据的股票行情表，提供市盈率、市净率等财务估值指标的估值指标表，以及分析个股市场表现的市场表现指标表。这些表格共同为投资者和分析师提供了科创板股票的详细交易信息、财务健康状况和市场表现，支持市场研究和投资决策。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:07"
外部,"10305",个股相关,科创板基本信息,科创板基本信息,"""科创板基本信息""涵盖了科创板上市公司的核心数据，包括公司基本信息、高管及重要员工的任职情况，以及股票代码信息。具体而言，该分类提供了公司注册资本、地址、联系方式、法定代表人、主营业务等基本资料；记录了高管和重要员工的职务、任期及离职原因等详细信息；并包含股票代码、上市状态、特别处理状态及股权架构等股票相关信息。这些表格共同构成了对科创板公司全面而详细的基本信息描述。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:07"
外部,"10306",个股相关,科创板经营,科创板经营,"""科创板经营""涵盖了科创板上市公司在定期报告中披露的主营业务收入的详细信息，按地区和产品进行分类。每个表格记录了营业收入、成本、毛利及其所占比重，并提供了与上年相比的变化情况。这些数据帮助分析公司在不同市场、行业和产品线的财务表现和盈利能力。","",,,1,"","2024-10-17 15:42:12","","2024-11-30 01:19:15"
外部,"10307",个股相关,科创板业绩预告,科创板业绩预告,"""科创板业绩预告""涵盖了科创板公司在业绩预告和业绩快报阶段的财务信息。该分类下的表格记录了公司在公告前对业绩的预测和初步核算结果，涉及净利润、每股收益、营业收入等关键财务指标。表格详细描述了公司业绩的预期变化、财务状况以及相关变更原因，帮助投资者了解科创板公司在特定报告期内的经营表现和财务健康状况。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:08"
外部,"208",指数相关,境内指数,境内指数,"""境内指数""表分类涵盖了各类指数的详细信息。这个分类主要包括指数的基本信息、样本信息、每日行情数据以及样本权重指标等。具体而言，指数基本信息表记录了指数的标识、名称、发布机构、基期等基础数据；指数样本信息表则详细列出各指数的样本股及其变动情况；指数行情表提供每日的开盘价、收盘价、成交量等市场数据；指数收盘权重指标表则展示了中证指数有限公司编制的部分A股及港股指数的样本权重信息，特别是上证A股指数和上证综合指数的权重更新频率。该分类中的信息对于了解指数的构成、市场表现及其在不同市场板块（如A股主板、A股科创板、港股）的权重分布具有重要意义。')","",,,1,"","2024-10-17 15:42:54","","2025-01-15 21:25:10"
内部,"201",内部信息查询,中资研报,中资研报,中资研报主表是一个用于汇总、整理和展示由中国国内金融机构（如国内的证券公司、基金公司、研究机构等）发布的研究报告的表格。内资研报基础信息，包括研报发布时间，撰写作者，研报标题，撰写机构等。,"",,,1,"","2024-10-17 15:41:51","","2024-12-02 20:31:05"
内部,"201",内部信息查询,策略会通知,策略会通知,记录券商举办的策略会信息，包含会议主题、日期、地点等。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:59:31"
内部,"201",内部信息查询,公告信息,公告信息,A股公告是上市公司依法向投资者公开披露的重要文件，内容广泛且关键，主要包括公司基本信息与重大事项（如公司简介、业务范围、经营状况以及重大合同、担保、股权质押、对外投资等）、财务与经营业绩（包括年度、中期、季度报告及业绩预告，详细披露公司的财务状况、经营成果、现金流量以及收入、利润、毛利率等关键指标，并可能包含下一年度的盈利预测）、股权结构与股东变动（披露公司股权分布，包括前十大股东名单及持股数，以及股东的增持、减持、质押等行为，还有控股股东或实际控制人的变化情况）、公司治理与高管情况（包括公司创立大会或股东大会的决议，董事、监事、高级管理人员的选举和变动，以及他们的简历和持股情况）、融资与资产重组（涉及公司的股票发行、债券发行、银行贷款等融资行为，以及资产收购、出售、置换等重组行为）、风险提示与其他事项（如市场风险、信用风险等潜在风险的揭示，以及公司的信息变更、诉讼与仲裁、违规处罚等对公司有重要影响的事项）。本表包含个股、发布日期、公告标题等信息。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:59:31"
内部,"201",内部信息查询,会议纪要,会议纪要,记录中国A股相关的路演活动所对应的会议纪要。会议纪要是一种记录会议内容的正式文书，用于总结和归纳会议中讨论的主要议题、达成的共识、提出的决策以及待完成的任务等内容。它的主要功能是为参会者提供回顾会议内容的依据，同时为未参会人员提供了解会议情况的参考。,"",,,1,"","2024-10-17 15:41:51","","2024-12-06 08:08:45"
内部,"201",内部信息查询,点评信息,点评信息,记录各个源头的分析师针对行业，个股，宏观，策略以及其他事项发表的的点评和观点。用户提到的“小作文”往往指的是点评。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:59:31"
内部,"201",内部信息查询,公众号信息,公众号信息,公众号包含了公司、行业等的最新的资讯信息。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:59:32"
外部,"10109",个股相关,主板公司行为,主板公司行为,“主板公司行为”表分类汇集了记录上市公司重大行为和事件的关键数据表，涵盖了大股东增减持信息、资产交易、债务重组、收购兼并、停牌、增资合作等具体事项，以及各类证券的交易提示信息。通过这些表，用户可以获取上市公司大股东增持与减持的详细情况，包括增减持人名称、股份类别、数量和均价等；了解上市公司在资产交易、债务重组等方面的事件进展和参与机构信息；以及获取证券的交易提示，如停牌、发行新股、股改、配股、分红派息等。各表可通过关联公司基本信息表、机构信息表和证券综合代码表，获取更详细的公司、机构和证券信息，为深入了解上市公司动态和辅助投资决策提供全面的数据支持。,"",,,1,"","2024-10-17 15:42:12","","2025-02-24 10:24:11"
内部,"201",内部信息查询,路演信息,路演信息,"""路演""(roadshow)是一个金融术语，通常用于描述上市公司或券商在公开发行股票或其他证券之前，进行的一系列推广活动。下面是上市公司路演和券商路演的具体含义：

1. **上市公司路演**：
   - 上市公司在准备首次公开募股（IPO）或增发股票时，会进行一系列的路演活动。
   - 路演的目的是向潜在的投资者推介公司、介绍公司的业务模式、市场前景、财务状况等，以吸引投资者购买其股票。
   - 路演活动可能包括投资者会议、一对一会议、在线演示、电话会议等多种形式。
   - 通过路演，公司管理层有机会直接与投资者沟通，解答投资者的疑问，建立投资者信心。

2. **券商路演**：
   - 券商路演通常是指券商为了推广其服务或产品，向潜在客户或合作伙伴进行的一系列宣传和教育活动。
   - 券商可能会举办路演来介绍其研究能力、交易平台、投资产品等。
   - 券商路演也可能包括对特定市场或行业的分析，提供投资策略和建议。
   - 券商路演有助于建立品牌形象，吸引新客户，增强与现有客户的关系。

无论是上市公司还是券商的路演，都是一种市场营销策略，旨在提高知名度、增加曝光度，并最终促进交易的完成。","",,,1,"","2024-10-17 15:41:51","","2024-11-28 20:23:03"
内部,"201",内部信息查询,外资研报,外资研报,外资研报主表是一个用于汇总、整理和展示由外资机构（如国际证券公司、投资银行、外资基金公司等）发布的研究报告，包含外资研报基础信息，包括研报发布时间，撰写作者，研报标题，撰写机构等。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:49:13"
内部,"201",内部信息查询,美股纪要,美股纪要,记录与美股相关的路演活动所对应的会议纪要。会议纪要是一种记录会议内容的正式文书，用于总结和归纳会议中讨论的主要议题、达成的共识、提出的决策以及待完成的任务等内容。它的主要功能是为参会者提供回顾会议内容的依据，同时为未参会人员提供了解会议情况的参考。,"",,,1,"","2024-10-17 15:41:51","","2024-12-06 08:08:28"
内部,"201",查资料,中资研报,中资研报,中资研报主表是一个用于汇总、整理和展示由中国国内金融机构（如国内的证券公司、基金公司、研究机构等）发布的研究报告的表格。内资研报基础信息，包括研报发布时间，撰写作者，研报标题，撰写机构等。,"",,,1,"","2024-10-17 15:41:51","","2024-12-02 20:31:05"
内部,"201",查资料,公告信息,公告信息,A股公告是上市公司依法向投资者公开披露的重要文件，内容广泛且关键，主要包括公司基本信息与重大事项（如公司简介、业务范围、经营状况以及重大合同、担保、股权质押、对外投资等）、财务与经营业绩（包括年度、中期、季度报告及业绩预告，详细披露公司的财务状况、经营成果、现金流量以及收入、利润、毛利率等关键指标，并可能包含下一年度的盈利预测）、股权结构与股东变动（披露公司股权分布，包括前十大股东名单及持股数，以及股东的增持、减持、质押等行为，还有控股股东或实际控制人的变化情况）、公司治理与高管情况（包括公司创立大会或股东大会的决议，董事、监事、高级管理人员的选举和变动，以及他们的简历和持股情况）、融资与资产重组（涉及公司的股票发行、债券发行、银行贷款等融资行为，以及资产收购、出售、置换等重组行为）、风险提示与其他事项（如市场风险、信用风险等潜在风险的揭示，以及公司的信息变更、诉讼与仲裁、违规处罚等对公司有重要影响的事项）。本表包含个股、发布日期、公告标题等信息。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:59:31"
内部,"201",查资料,会议纪要,会议纪要,记录中国A股相关的路演活动所对应的会议纪要。会议纪要是一种记录会议内容的正式文书，用于总结和归纳会议中讨论的主要议题、达成的共识、提出的决策以及待完成的任务等内容。它的主要功能是为参会者提供回顾会议内容的依据，同时为未参会人员提供了解会议情况的参考。,"",,,1,"","2024-10-17 15:41:51","","2024-12-06 08:08:45"
内部,"201",查资料,点评信息,点评信息,记录各个源头的分析师针对行业，个股，宏观，策略以及其他事项发表的的点评和观点。用户提到的“小作文”往往指的是点评。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:59:31"
内部,"201",查资料,公众号信息,公众号信息,公众号包含了公司、行业等的最新的资讯信息。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:59:32"
内部,"201",查资料,外资研报,外资研报,外资研报主表是一个用于汇总、整理和展示由外资机构（如国际证券公司、投资银行、外资基金公司等）发布的研究报告，包含外资研报基础信息，包括研报发布时间，撰写作者，研报标题，撰写机构等。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:49:13"
内部,"201",查资料,美股纪要,美股纪要,记录与美股相关的路演活动所对应的会议纪要。会议纪要是一种记录会议内容的正式文书，用于总结和归纳会议中讨论的主要议题、达成的共识、提出的决策以及待完成的任务等内容。它的主要功能是为参会者提供回顾会议内容的依据，同时为未参会人员提供了解会议情况的参考。,"",,,1,"","2024-10-17 15:41:51","","2024-12-06 08:08:28"
外部,"10308",个股相关,南北向资金流动,南北向资金流动,"""资金流向-北向资金"" 和 ""资金流向-南向资金"" 是中国股票市场中常见的资金流向指标，主要用于描述 沪深股通（即 沪股通 和 深股通）以及 港股通（即 港股通（沪） 和 港股通（深））中的资金流向情况。北向资金（Northbound Capital） 是指境外投资者通过 沪股通 和 深股通 进入中国 A股市场（即 从香港流入A股）。南向资金（Southbound Capital） 则是指 内地投资者 通过 港股通 进入 港股市场（即 从内地流入香港股市）。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:08"
,,宏观行业相关,国际宏观,,包括全球主要经济体的宏观经济指标，如美国的GDP、欧元区的CPI、日本的失业率等。国际金融市场数据，如汇率、国际利率、大宗商品价格等。全球经济政策动态，如美联储的货币政策、欧洲央行的利率决议等。用于分析全球经济形势、国际金融市场动态以及跨国投资机会。,,,,1,,"2025-02-28 17:07:22",,"2025-02-28 17:07:22"
,,宏观行业相关,中国宏观,,记录了中国的宏观经济指标，如国内生产总值（GDP）、消费者价格指数（CPI）、生产者价格指数（PPI）、工业增加值、固定资产投资、社会消费品零售总额、进出口数据等。财政政策和货币政策相关数据，如财政收支、货币供应量（M2）、利率、存款准备金率等。人口、就业、收入分配等社会经济数据。用于分析中国经济的整体运行状况、发展趋势和政策影响。,,,,1,,"2025-02-28 17:07:22",,"2025-02-28 17:07:22"
,,宏观行业相关,行业经济,,记录了各行业的经济数据，如制造业、服务业、农业、能源、科技等行业的生产、销售、利润、投资等指标。用于分析特定行业的发展状况、市场前景和投资机会。,,,,1,,"2025-02-28 17:07:23",,"2025-02-28 17:07:23"
,,宏观行业相关,主题基础数据,,围绕特定主题的数据集合，如新能源、科技创新、消费升级、医疗健康等。用于分析特定主题的发展趋势、市场潜力和投资机会。,,,,1,,"2025-02-28 17:07:23",,"2025-02-28 17:07:23"
,,美股相关,美股基本信息,,包含美股上市公司的名称、代码、行业分类、上市日期等基础信息。注意！！！只要是美股相关问题就必须考虑美股基本信息！,,,,1,,"2025-03-06 17:29:49",,"2025-03-06 18:22:15"
,,美股相关,美股行情,,涵盖股票价格、成交量、技术指标（如MACD、RSI）等市场行情数据。,,,,1,,"2025-03-06 17:29:49",,"2025-03-06 17:29:49"
,,美股相关,美股财务,,与公司财务状况直接相关的核心报表。,,,,1,,"2025-03-06 17:29:50",,"2025-03-06 17:29:50"
,,美股相关,美股经营分析,,分析公司收入来源的板块和地域分布，用于评估业务结构。,,,,1,,"2025-03-06 17:29:50",,"2025-03-06 17:29:50"
